Dates;PX_LAST;PX_BID;PX_ASK
26.01.2016;104,573;104,152;104,994
27.01.2016;104,729;104,312;105,147
28.01.2016;103,437;102,907;103,966
29.01.2016;101,98;101,451;102,51
01.02.2016;104,02;103,664;104,376
02.02.2016;108,652;108,27;109,034
03.02.2016;107,695;107,345;108,046
04.02.2016;109,574;109,067;110,081
05.02.2016;114,8;114,332;115,269
08.02.2016;120,244;119,682;120,806
09.02.2016;119,554;119,056;120,052
10.02.2016;121,563;121,063;122,062
11.02.2016;124,6;124,1;125,101
12.02.2016;121,962;121,488;122,437
16.02.2016;121,253;120,755;121,752
17.02.2016;116,818;116,319;117,318
18.02.2016;116,77;116,359;117,181
19.02.2016;118,128;117,581;118,674
22.02.2016;113,495;113,049;113,941
23.02.2016;115,725;115,267;116,183
24.02.2016;114,503;113,793;115,212
25.02.2016;112,628;112,156;113,099
26.02.2016;110,29;109,823;110,757
29.02.2016;107,456;106,967;107,945
01.03.2016;100,583;100,092;101,073
02.03.2016;100,125;99,657;100,593
03.03.2016;96,946;96,509;97,382
04.03.2016;94,368;93,877;94,858
07.03.2016;93,71;93,316;94,103
08.03.2016;98,167;97,723;98,61
09.03.2016;96,213;95,856;96,57
10.03.2016;90,813;90,363;91,263
11.03.2016;82,847;82,324;83,37
14.03.2016;85,126;84,67;85,582
15.03.2016;89,083;88,621;89,546
16.03.2016;85,711;85,149;86,273
17.03.2016;83,694;83,16;84,228
18.03.2016;85,154;84,479;85,828
21.03.2016;77,556;77,041;78,071
22.03.2016;80,855;80,327;81,383
23.03.2016;81,253;80,791;81,715
24.03.2016;83,415;82,79;84,039
28.03.2016;83,23;82,755;83,705
29.03.2016;82,52;82,089;82,95
30.03.2016;78,508;77,993;79,023
31.03.2016;78,592;78,022;79,161
01.04.2016;75,542;75,11;75,975
04.04.2016;76,27;75,783;76,757
05.04.2016;79,628;79,061;80,195
06.04.2016;77,678;77,178;78,177
07.04.2016;82,34;81,86;82,821
08.04.2016;82,331;81,804;82,858
11.04.2016;81,402;80,996;81,807
12.04.2016;79,519;79,161;79,876
13.04.2016;79,488;79,019;79,956
14.04.2016;78,99;78,574;79,406
15.04.2016;80,17;79,709;80,631
18.04.2016;77,921;77,624;78,217
19.04.2016;75,59;75,119;76,06
20.04.2016;72,744;72,326;73,162
21.04.2016;74,106;73,543;74,669
